Using defaults initial nominal = 100.0, noise = 5.0
For other settings use java Simulation <nom> <noise>
 100.00 (100.0):  0.0
  95.93 ( 99.0): -3.1
  99.81 ( 98.0):  1.8
  96.14 ( 99.0): -2.9
  99.91 (100.0): -0.1
  98.76 ( 99.0): -0.2
  97.50 (100.0): -2.5
  99.29 ( 99.0):  0.3
  97.30 (100.0): -2.7
 101.18 ( 99.0):  2.2
  95.26 (100.0): -4.7
 103.03 (101.0):  2.0
 102.19 (102.0):  0.2
  97.73 (101.0): -3.3
 101.00 (102.0): -1.0
 101.08 (101.0):  0.1
 101.84 (100.0):  1.8
  99.56 ( 99.0):  0.6
  94.57 ( 98.0): -3.4
  99.26 ( 99.0):  0.3
  99.48 ( 98.0):  1.5
  94.86 ( 97.0): -2.1
  99.96 ( 96.0):  4.0
  91.09 ( 95.0): -3.9
  92.68 ( 96.0): -3.3
  93.80 ( 95.0): -1.2
  91.48 ( 94.0): -2.5
  94.64 ( 93.0):  1.6
  94.33 ( 92.0):  2.3
  90.53 ( 91.0): -0.5
  90.39 ( 92.0): -1.6
  90.39 ( 91.0): -0.6
  95.55 ( 92.0):  3.6
  88.26 ( 91.0): -2.7
  93.99 ( 92.0):  2.0
  92.12 ( 91.0):  1.1
  83.69 ( 90.0): -6.3
  84.38 ( 89.0): -4.6
  82.94 ( 90.0): -7.1
  92.43 ( 91.0):  1.4
  90.30 ( 90.0):  0.3
 124.46 ( 89.0): 35.5
 123.92 ( 88.0): 35.9
 122.34 ( 87.0): 35.3
 120.66 ( 88.0): 32.7
 121.13 ( 87.0): 34.1
 123.23 ( 88.0): 35.2
 123.85 ( 87.0): 36.8
 121.72 ( 88.0): 33.7
 127.04 ( 87.0): 40.0
 125.59 ( 88.0): 37.6
 132.10 ( 87.0): 45.1
 124.43 ( 86.0): 38.4
 126.77 ( 85.0): 41.8
  78.63 ( 86.0): -7.4
  80.64 ( 87.0): -6.4
  87.60 ( 86.0):  1.6
  88.09 ( 85.0):  3.1
  87.43 ( 86.0):  1.4
  90.74 ( 87.0):  3.7
  82.92 ( 86.0): -3.1
  84.34 ( 85.0): -0.7
  87.60 ( 86.0):  1.6
  90.01 ( 85.0):  5.0
  88.93 ( 84.0):  4.9
  87.28 ( 85.0):  2.3
  86.88 ( 86.0):  0.9
  91.44 ( 85.0):  6.4
  84.95 ( 84.0):  0.9
  82.89 ( 83.0): -0.1
 122.76 ( 84.0): 38.8
 127.81 ( 85.0): 42.8
 121.75 ( 86.0): 35.8
 126.78 ( 87.0): 39.8
 122.71 ( 86.0): 36.7
 118.94 ( 85.0): 33.9
 126.21 ( 84.0): 42.2
  80.33 ( 85.0): -4.7
  84.48 ( 84.0):  0.5
  84.66 ( 83.0):  1.7
  83.29 ( 84.0): -0.7
  82.54 ( 85.0): -2.5
  79.56 ( 86.0): -6.4
  81.32 ( 85.0): -3.7
  83.87 ( 84.0): -0.1
  81.61 ( 85.0): -3.4
  80.75 ( 84.0): -3.3
  82.74 ( 85.0): -2.3
  85.64 ( 84.0):  1.6
  82.71 ( 83.0): -0.3
  77.72 ( 82.0): -4.3
  85.67 ( 81.0):  4.7
  79.17 ( 82.0): -2.8
  84.67 ( 81.0):  3.7
  78.65 ( 82.0): -3.3
  79.80 ( 81.0): -1.2
  77.35 ( 80.0): -2.7
  71.05 ( 79.0): -7.9
  79.52 ( 80.0): -0.5
  81.40 ( 81.0):  0.4
  79.18 ( 82.0): -2.8
  82.21 ( 83.0): -0.8
  84.79 ( 82.0):  2.8
  78.35 ( 83.0): -4.6
  83.43 ( 82.0):  1.4
 117.36 ( 81.0): 36.4
 120.66 ( 80.0): 40.7
 118.46 ( 81.0): 37.5
 119.81 ( 80.0): 39.8
 115.79 ( 79.0): 36.8
 125.32 ( 80.0): 45.3
 119.82 ( 81.0): 38.8
 124.82 ( 82.0): 42.8
 120.75 ( 83.0): 37.8
  77.93 ( 82.0): -4.1
  85.25 ( 81.0):  4.3
  81.28 ( 80.0):  1.3
